Date : 2025-04-27 13:34:14
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\backend
Total : 6673 files,  1737671 codes, 212150 comments, 278537 blanks, all 2228358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv\Lib\site-packages\django\conf\locale\en_GB                                                                                                                                       |          2 |         26 |         14 |          3 |         43 |
| .venv\Lib\site-packages\django\conf\locale\en_IE                                                                                                                                       |          2 |         30 |          6 |          3 |         39 |
| .venv\Lib\site-packages\django\conf\locale\eo                                                                                                                                          |          2 |         37 |          6 |          3 |         46 |
| .venv\Lib\site-packages\django\conf\locale\es                                                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\es_AR                                                                                                                                       |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\es_CO                                                                                                                                       |          2 |         24 |          2 |          2 |         28 |
| .venv\Lib\site-packages\django\conf\locale\es_MX                                                                                                                                       |          2 |         24 |          2 |          2 |         28 |
| .venv\Lib\site-packages\django\conf\locale\es_NI                                                                                                                                       |          2 |         24 |          2 |          2 |         28 |
| .venv\Lib\site-packages\django\conf\locale\es_PR                                                                                                                                       |          2 |         23 |          2 |          4 |         29 |
| .venv\Lib\site-packages\django\conf\locale\et                                                                                                                                          |          2 |          6 |         14 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\eu                                                                                                                                          |          2 |         11 |          9 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\fa                                                                                                                                          |          2 |         10 |         10 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\fi                                                                                                                                          |          2 |         28 |          6 |          4 |         38 |
| .venv\Lib\site-packages\django\conf\locale\fr                                                                                                                                          |          2 |         20 |          6 |          3 |         29 |
| .venv\Lib\site-packages\django\conf\locale\fr_BE                                                                                                                                       |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\fr_CA                                                                                                                                       |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\fr_CH                                                                                                                                       |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\fy                                                                                                                                          |          2 |          0 |         20 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\ga                                                                                                                                          |          2 |          6 |         14 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\gd                                                                                                                                          |          2 |          9 |         11 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\gl                                                                                                                                          |          2 |         10 |         10 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\he                                                                                                                                          |          2 |          9 |         11 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\hi                                                                                                                                          |          2 |          6 |         14 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\hr                                                                                                                                          |          2 |         35 |          7 |          4 |         46 |
| .venv\Lib\site-packages\django\conf\locale\hu                                                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\id                                                                                                                                          |          2 |         39 |          6 |          6 |         51 |
| .venv\Lib\site-packages\django\conf\locale\ig                                                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\is                                                                                                                                          |          2 |          8 |         12 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\it                                                                                                                                          |          2 |         36 |          6 |          3 |         45 |
| .venv\Lib\site-packages\django\conf\locale\ja                                                                                                                                          |          2 |         10 |         10 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\ka                                                                                                                                          |          2 |         35 |         12 |          3 |         50 |
| .venv\Lib\site-packages\django\conf\locale\km                                                                                                                                          |          2 |          8 |         12 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\kn                                                                                                                                          |          2 |          4 |         16 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\ko                                                                                                                                          |          2 |         36 |         16 |          4 |         56 |
| .venv\Lib\site-packages\django\conf\locale\ky                                                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\lt                                                                                                                                          |          2 |         38 |          6 |          3 |         47 |
| .venv\Lib\site-packages\django\conf\locale\lv                                                                                                                                          |          2 |         38 |          7 |          3 |         48 |
| .venv\Lib\site-packages\django\conf\locale\mk                                                                                                                                          |          2 |         31 |          6 |          5 |         42 |
| .venv\Lib\site-packages\django\conf\locale\ml                                                                                                                                          |          2 |         27 |         15 |          3 |         45 |
| .venv\Lib\site-packages\django\conf\locale\mn                                                                                                                                          |          2 |          3 |         17 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\ms                                                                                                                                          |          2 |         31 |          6 |          3 |         40 |
| .venv\Lib\site-packages\django\conf\locale\nb                                                                                                                                          |          2 |         27 |         13 |          3 |         43 |
| .venv\Lib\site-packages\django\conf\locale\nl                                                                                                                                          |          2 |         58 |         33 |          3 |         94 |
| .venv\Lib\site-packages\django\conf\locale\nn                                                                                                                                          |          2 |         27 |         13 |          3 |         43 |
| .venv\Lib\site-packages\django\conf\locale\pl                                                                                                                                          |          2 |         21 |          8 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\pt                                                                                                                                          |          2 |         27 |         11 |          3 |         41 |
| .venv\Lib\site-packages\django\conf\locale\pt_BR                                                                                                                                       |          2 |         23 |         10 |          3 |         36 |
| .venv\Lib\site-packages\django\conf\locale\ro                                                                                                                                          |          2 |         28 |          6 |          3 |         37 |
| .venv\Lib\site-packages\django\conf\locale\ru                                                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\sk                                                                                                                                          |          2 |         21 |          8 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\sl                                                                                                                                          |          2 |         35 |          6 |          5 |         46 |
| .venv\Lib\site-packages\django\conf\locale\sq                                                                                                                                          |          2 |          7 |         13 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\sr                                                                                                                                          |          2 |         31 |         12 |          3 |         46 |
| .venv\Lib\site-packages\django\conf\locale\sr_Latn                                                                                                                                     |          2 |         31 |         12 |          3 |         46 |
| .venv\Lib\site-packages\django\conf\locale\sv                                                                                                                                          |          2 |         27 |          7 |          3 |         37 |
| .venv\Lib\site-packages\django\conf\locale\ta                                                                                                                                          |          2 |          4 |         16 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\te                                                                                                                                          |          2 |          4 |         16 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\tg                                                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\th                                                                                                                                          |          2 |         26 |          6 |          3 |         35 |
| .venv\Lib\site-packages\django\conf\locale\tk                                                                                                                                          |          2 |         25 |          6 |          3 |         34 |
| .venv\Lib\site-packages\django\conf\locale\tr                                                                                                                                          |          2 |         21 |          8 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\ug                                                                                                                                          |          2 |         10 |          4 |          2 |         16 |
| .venv\Lib\site-packages\django\conf\locale\uk                                                                                                                                          |          2 |         28 |          6 |          3 |         37 |
| .venv\Lib\site-packages\django\conf\locale\uz                                                                                                                                          |          2 |         23 |          6 |          3 |         32 |
| .venv\Lib\site-packages\django\conf\locale\vi                                                                                                                                          |          2 |          9 |         11 |          3 |         23 |
| .venv\Lib\site-packages\django\conf\locale\zh_Hans                                                                                                                                     |          2 |         32 |          6 |          6 |         44 |
| .venv\Lib\site-packages\django\conf\locale\zh_Hant                                                                                                                                     |          2 |         32 |          6 |          6 |         44 |
| .venv\Lib\site-packages\django\conf\urls                                                                                                                                               |          3 |         62 |          2 |         17 |         81 |
| .venv\Lib\site-packages\django\contrib                                                                                                                                                 |        533 |     58,029 |      6,283 |     12,473 |     76,785 |
| .venv\Lib\site-packages\django\contrib (Files)                                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| .venv\Lib\site-packages\django\contrib\admin                                                                                                                                           |        202 |     31,522 |      4,439 |      7,005 |     42,966 |
| .venv\Lib\site-packages\django\contrib\admin (Files)                                                                                                                                   |         15 |      6,627 |        298 |        961 |      7,886 |
| .venv\Lib\site-packages\django\contrib\admin\migrations                                                                                                                                |          4 |        104 |          2 |         13 |        119 |
| .venv\Lib\site-packages\django\contrib\admin\static                                                                                                                                    |        123 |     22,148 |      4,033 |      5,659 |     31,840 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin                                                                                                                              |        123 |     22,148 |      4,033 |      5,659 |     31,840 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\css                                                                                                                          |         16 |      4,097 |        114 |        972 |      5,183 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\css (Files)                                                                                                                  |         13 |      3,654 |        114 |        909 |      4,677 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\css\vendor                                                                                                                   |          3 |        443 |          0 |         63 |        506 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\css\vendor\select2                                                                                                           |          3 |        443 |          0 |         63 |        506 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\img                                                                                                                          |         21 |        178 |          0 |         19 |        197 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\img (Files)                                                                                                                  |         19 |        176 |          0 |         19 |        195 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\img\gis                                                                                                                      |          2 |          2 |          0 |          0 |          2 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js                                                                                                                           |         86 |     17,873 |      3,919 |      4,668 |     26,460 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js (Files)                                                                                                                   |         18 |      1,583 |        193 |        147 |      1,923 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\admin                                                                                                                     |          2 |        522 |         78 |         50 |        650 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor                                                                                                                    |         66 |     15,768 |      3,648 |      4,471 |     23,887 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\jquery                                                                                                             |          2 |      6,768 |      1,888 |      2,064 |     10,720 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2                                                                                                            |         62 |      5,179 |        444 |      1,399 |      7,022 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2 (Files)                                                                                                    |          3 |      5,120 |        385 |      1,340 |      6,845 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\select2\i18n                                                                                                       |         59 |         59 |         59 |         59 |        177 |
| .venv\Lib\site-packages\django\contrib\admin\static\admin\js\vendor\xregexp                                                                                                            |          2 |      3,821 |      1,316 |      1,008 |      6,145 |
| .venv\Lib\site-packages\django\contrib\admin\templates                                                                                                                                 |         50 |      1,273 |          8 |        189 |      1,470 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin                                                                                                                           |         42 |      1,096 |          8 |        134 |      1,238 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin (Files)                                                                                                                   |         27 |        795 |          8 |        105 |        908 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin\auth                                                                                                                      |          2 |         88 |          0 |         12 |        100 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin\auth\user                                                                                                                 |          2 |         88 |          0 |         12 |        100 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin\edit_inline                                                                                                               |          2 |        105 |          0 |          6 |        111 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin\includes                                                                                                                  |          2 |         46 |          0 |          2 |         48 |
| .venv\Lib\site-packages\django\contrib\admin\templates\admin\widgets                                                                                                                   |          9 |         62 |          0 |          9 |         71 |
| .venv\Lib\site-packages\django\contrib\admin\templates\registration                                                                                                                    |          8 |        177 |          0 |         55 |        232 |
| .venv\Lib\site-packages\django\contrib\admin\templatetags                                                                                                                              |          6 |        732 |         24 |        118 |        874 |
| .venv\Lib\site-packages\django\contrib\admin\views                                                                                                                                     |          4 |        638 |         74 |         65 |        777 |
| .venv\Lib\site-packages\django\contrib\admindocs                                                                                                                                       |         16 |      1,067 |         39 |        186 |      1,292 |
| .venv\Lib\site-packages\django\contrib\admindocs (Files)                                                                                                                               |          6 |        708 |         39 |         96 |        843 |
| .venv\Lib\site-packages\django\contrib\admindocs\templates                                                                                                                             |         10 |        359 |          0 |         90 |        449 |
| .venv\Lib\site-packages\django\contrib\admindocs\templates\admin_doc                                                                                                                   |         10 |        359 |          0 |         90 |        449 |
| .venv\Lib\site-packages\django\contrib\auth                                                                                                                                            |         39 |      4,447 |        209 |        856 |      5,512 |
| .venv\Lib\site-packages\django\contrib\auth (Files)                                                                                                                                    |         19 |      3,497 |        173 |        728 |      4,398 |
| .venv\Lib\site-packages\django\contrib\auth\handlers                                                                                                                                   |          2 |         35 |          2 |          8 |         45 |
| .venv\Lib\site-packages\django\contrib\auth\management                                                                                                                                 |          4 |        483 |         31 |         63 |        577 |
| .venv\Lib\site-packages\django\contrib\auth\management (Files)                                                                                                                         |          1 |        132 |         17 |         26 |        175 |
| .venv\Lib\site-packages\django\contrib\auth\management\commands                                                                                                                        |          3 |        351 |         14 |         37 |        402 |
| .venv\Lib\site-packages\django\contrib\auth\migrations                                                                                                                                 |         13 |        424 |          3 |         56 |        483 |
| .venv\Lib\site-packages\django\contrib\auth\templates                                                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| .venv\Lib\site-packages\django\contrib\auth\templates\auth                                                                                                                             |          1 |          8 |          0 |          1 |          9 |
| .venv\Lib\site-packages\django\contrib\auth\templates\auth\widgets                                                                                                                     |          1 |          8 |          0 |          1 |          9 |
| .venv\Lib\site-packages\django\contrib\contenttypes                                                                                                                                    |         15 |      1,506 |         98 |        240 |      1,844 |
| .venv\Lib\site-packages\django\contrib\contenttypes (Files)                                                                                                                            |          9 |      1,211 |         87 |        195 |      1,493 |
| .venv\Lib\site-packages\django\contrib\contenttypes\management                                                                                                                         |          3 |        216 |         11 |         34 |        261 |
| .venv\Lib\site-packages\django\contrib\contenttypes\management (Files)                                                                                                                 |          1 |        115 |         10 |         21 |        146 |
| .venv\Lib\site-packages\django\contrib\contenttypes\management\commands                                                                                                                |          2 |        101 |          1 |         13 |        115 |
| .venv\Lib\site-packages\django\contrib\contenttypes\migrations                                                                                                                         |          3 |         79 |          0 |         11 |         90 |
| .venv\Lib\site-packages\django\contrib\flatpages                                                                                                                                       |         13 |        354 |         23 |         68 |        445 |
| .venv\Lib\site-packages\django\contrib\flatpages (Files)                                                                                                                               |          9 |        212 |         16 |         44 |        272 |
| .venv\Lib\site-packages\django\contrib\flatpages\migrations                                                                                                                            |          2 |         65 |          0 |          5 |         70 |
| .venv\Lib\site-packages\django\contrib\flatpages\templatetags                                                                                                                          |          2 |         77 |          7 |         19 |        103 |
| .venv\Lib\site-packages\django\contrib\gis                                                                                                                                             |        136 |     12,145 |      1,137 |      2,632 |     15,914 |
| .venv\Lib\site-packages\django\contrib\gis (Files)                                                                                                                                     |          9 |        713 |         67 |        138 |        918 |
| .venv\Lib\site-packages\django\contrib\gis\admin                                                                                                                                       |          2 |         44 |          0 |          8 |         52 |
| .venv\Lib\site-packages\django\contrib\gis\db                                                                                                                                          |         49 |      3,763 |        306 |        872 |      4,941 |
| .venv\Lib\site-packages\django\contrib\gis\db (Files)                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends                                                                                                                                 |         40 |      2,481 |        230 |        511 |      3,222 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends (Files)                                                                                                                         |          2 |         22 |          0 |          8 |         30 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends\base                                                                                                                            |          5 |        365 |         43 |         84 |        492 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends\mysql                                                                                                                           |          6 |        236 |         15 |         49 |        300 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends\oracle                                                                                                                          |          8 |        463 |         27 |         93 |        583 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends\postgis                                                                                                                         |         10 |        824 |        108 |        178 |      1,110 |
| .venv\Lib\site-packages\django\contrib\gis\db\backends\spatialite                                                                                                                      |          9 |        571 |         37 |         99 |        707 |
| .venv\Lib\site-packages\django\contrib\gis\db\models                                                                                                                                   |          8 |      1,282 |         76 |        360 |      1,718 |
| .venv\Lib\site-packages\django\contrib\gis\db\models (Files)                                                                                                                           |          6 |      1,222 |         73 |        341 |      1,636 |
| .venv\Lib\site-packages\django\contrib\gis\db\models\sql                                                                                                                               |          2 |         60 |          3 |         19 |         82 |
| .venv\Lib\site-packages\django\contrib\gis\forms                                                                                                                                       |          3 |        217 |         13 |         55 |        285 |
| .venv\Lib\site-packages\django\contrib\gis\gdal                                                                                                                                        |         25 |      3,509 |        341 |        673 |      4,523 |
| .venv\Lib\site-packages\django\contrib\gis\gdal (Files)                                                                                                                                |         13 |      2,044 |        186 |        411 |      2,641 |
| .venv\Lib\site-packages\django\contrib\gis\gdal\prototypes                                                                                                                             |          7 |        687 |         65 |        129 |        881 |
| .venv\Lib\site-packages\django\contrib\gis\gdal\raster                                                                                                                                 |          5 |        778 |         90 |        133 |      1,001 |
| .venv\Lib\site-packages\django\contrib\gis\geos                                                                                                                                        |         24 |      2,412 |        241 |        634 |      3,287 |
| .venv\Lib\site-packages\django\contrib\gis\geos (Files)                                                                                                                                |         14 |      1,739 |        142 |        418 |      2,299 |
| .venv\Lib\site-packages\django\contrib\gis\geos\prototypes                                                                                                                             |         10 |        673 |         99 |        216 |        988 |
| .venv\Lib\site-packages\django\contrib\gis\management                                                                                                                                  |          4 |        153 |         10 |         23 |        186 |
| .venv\Lib\site-packages\django\contrib\gis\management (Files)                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| .venv\Lib\site-packages\django\contrib\gis\management\commands                                                                                                                         |          3 |        153 |         10 |         22 |        185 |
| .venv\Lib\site-packages\django\contrib\gis\serializers                                                                                                                                 |          2 |         67 |          3 |         13 |         83 |
| .venv\Lib\site-packages\django\contrib\gis\sitemaps                                                                                                                                    |          3 |        119 |          7 |         24 |        150 |
| .venv\Lib\site-packages\django\contrib\gis\static                                                                                                                                      |          8 |        242 |         14 |         30 |        286 |
| .venv\Lib\site-packages\django\contrib\gis\static\gis                                                                                                                                  |          8 |        242 |         14 |         30 |        286 |
| .venv\Lib\site-packages\django\contrib\gis\static\gis\css                                                                                                                              |          1 |         35 |          0 |          5 |         40 |
| .venv\Lib\site-packages\django\contrib\gis\static\gis\img                                                                                                                              |          6 |          6 |          0 |          6 |         12 |
| .venv\Lib\site-packages\django\contrib\gis\static\gis\js                                                                                                                               |          1 |        201 |         14 |         19 |        234 |
| .venv\Lib\site-packages\django\contrib\gis\templates                                                                                                                                   |          2 |         41 |          0 |          5 |         46 |
| .venv\Lib\site-packages\django\contrib\gis\templates\gis                                                                                                                               |          2 |         41 |          0 |          5 |         46 |
| .venv\Lib\site-packages\django\contrib\gis\utils                                                                                                                                       |          5 |        865 |        135 |        157 |      1,157 |
| .venv\Lib\site-packages\django\contrib\humanize                                                                                                                                        |          4 |        274 |         36 |         28 |        338 |
| .venv\Lib\site-packages\django\contrib\humanize (Files)                                                                                                                                |          2 |          5 |          0 |          4 |          9 |
| .venv\Lib\site-packages\django\contrib\humanize\templatetags                                                                                                                           |          2 |        269 |         36 |         24 |        329 |
| .venv\Lib\site-packages\django\contrib\messages                                                                                                                                        |         14 |        644 |         18 |        151 |        813 |
| .venv\Lib\site-packages\django\contrib\messages (Files)                                                                                                                                |          9 |        200 |          2 |         55 |        257 |
| .venv\Lib\site-packages\django\contrib\messages\storage                                                                                                                                |          5 |        444 |         16 |         96 |        556 |
| .venv\Lib\site-packages\django\contrib\postgres                                                                                                                                        |         30 |      2,515 |         63 |        616 |      3,194 |
| .venv\Lib\site-packages\django\contrib\postgres (Files)                                                                                                                                |         13 |      1,279 |         38 |        302 |      1,619 |
| .venv\Lib\site-packages\django\contrib\postgres\aggregates                                                                                                                             |          4 |        133 |          0 |         60 |        193 |
| .venv\Lib\site-packages\django\contrib\postgres\fields                                                                                                                                 |          7 |        733 |         20 |        189 |        942 |
| .venv\Lib\site-packages\django\contrib\postgres\forms                                                                                                                                  |          4 |        368 |          5 |         63 |        436 |
| .venv\Lib\site-packages\django\contrib\postgres\jinja2                                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\django\contrib\postgres\jinja2\postgres                                                                                                                        |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\django\contrib\postgres\jinja2\postgres\widgets                                                                                                                |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\django\contrib\postgres\templates                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\django\contrib\postgres\templates\postgres                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| .venv\Lib\site-packages\django\contrib\postgres\templates\postgres\widgets                                                                                                             |          1 |          1 |          0 |          1 |          2 |
